"pageid","name","identity","align","eye","hair","sex","gsm","alive","appearances","firstappearance","company","multiverse"
"010967","Kala Avasti ","No info","Good","Brown","Black","Female","No","Living",7,"2006-05","DC","New Earth"
"010969","Mercury ","Secret","Good","Photocellular","No info","Male","No","Living",165,"1962-04","DC","New Earth"
"109771","Cheeks ","No info","No info","Blue","Blond","No info","No","Living",14,"1985-06","DC","New Earth"
"011025","Gardner Grayle ","Secret","Good","Blue","Red","Male","No","Living",35,"1983-05","DC","New Earth"
"011039","Albert Rothstein ","Secret","Good","Blue","No info","Male","No","Living",245,"1983-09","DC","New Earth"
"011047","Carolyn Llewellyn ","Public","Neutral","Green","No info","Female","No","Living",3,"2006-10","DC","New Earth"
"011051","Lowell Jeffries ","No info","Neutral","No info","No info","Male","No","Living",2,"2006-10","DC","New Earth"
"110513","Carla Falcone ","Public","Bad","No info","Blond","Female","No","Deceased",6,"1996-12","DC","New Earth"
"110514","Johnny Vitti ","Public","Bad","Blue","Brown","Male","No","Deceased",2,"1987-02","DC","New Earth"
"110517","Lucia Viti ","Public","Bad","Blue","Brown","Female","No","Deceased",2,"1999-12","DC","New Earth"
"110519","Milos Grapa ","Public","Bad","Blue","Grey","Male","No","Deceased",3,"1996-12","DC","New Earth"
"110520","Richard Daniel ","Public","Bad","Blue","Brown","Male","No","Deceased",1,"1996-12","DC","New Earth"
"110521","Jasper Dolan ","Public","Neutral","Blue","Grey","Male","No","Deceased",1,"1997-09","DC","New Earth"
"110526","Luigi Maroni ","Public","Bad","No info","Grey","Male","No","Deceased",2,"1997-08","DC","New Earth"
"110527","Umberto Maroni ","Public","Bad","No info","Brown","Male","No","Deceased",5,"1999-12","DC","New Earth"
"110528","Pino Maroni ","Public","Bad","No info","Black","Male","No","Deceased",6,"1999-12","DC","New Earth"
"110531","Angelo Mirti ","Public","Bad","Black","Grey","Male","No","Deceased",4,"1999-12","DC","New Earth"
"110532","Edward Skeevers ","Public","Bad","No info","Black","Male","No","Deceased",2,"1999-12","DC","New Earth"
"110533","Mickey Sullivan ","Public","Bad","No info","Brown","Male","No","Deceased",1,"1997-01","DC","New Earth"
"110534","Donald Sullivan ","Public","Bad","No info","Brown","Male","No","Deceased",1,"1997-01","DC","New Earth"
"110535","Jimmy Murphy ","Public","Bad","No info","Brown","Male","No","Deceased",1,"1997-01","DC","New Earth"
"110536","Kevin Kelly ","Public","Bad","No info","Brown","Male","No","Deceased",1,"1997-01","DC","New Earth"
"110537","William O'Neil ","Public","Bad","No info","Brown","Male","No","Deceased",1,"1997-01","DC","New Earth"
"011054","Subjekt-17 ","No info","Bad","Black","No info","Male","No","Deceased",5,"2006-10","DC","New Earth"
"110540","Bobby Gazzo ","Public","Bad","Brown","Brown","Male","No","Deceased",1,"1999-12","DC","New Earth"
"110541","Joe Bandano ","Public","Bad","No info","Brown","Male","No","Deceased",2,"1997-02","DC","New Earth"
"110542","Luca Mareli ","Public","Bad","No info","Brown","Male","No","Deceased",1,"1997-02","DC","New Earth"
"110553","Frankie Carbone ","Public","Bad","No info","Brown","Male","No","Deceased",2,"1997-02","DC","New Earth"
"110584","Janice Porter ","Public","Bad","Blue","Blond","Female","No","Deceased",13,"1999-12","DC","New Earth"
"110640","Vincent Falcone ","Public","Bad","No info","Grey","Male","No","Living",1,"1997-08","DC","New Earth"
"011135","Daniel Carter ","Secret","Good","Blue","Blond","Male","No","Living",15,"2006-09","DC","New Earth"
"111450","Java ","Public","Bad","Black","Black","Male","No","Living",76,"1965-01","DC","New Earth"
"111451","Henry Hayes ","Public","Good","No info","Blond","Male","No","Deceased",8,"1989-10","DC","New Earth"
"111454","M'Bulaze ","Secret","Good","Brown","Black","Male","No","Deceased",1,"1986-03","DC","New Earth"
"111466","Thomas Emery ","Secret","Bad","Brown","Brown","Male","No","Living",18,"1987-07","DC","New Earth"
"111506","Alejandro Sanchez ","Secret","Good","Brown","Black","Male","No","Deceased",11,"1996-02","DC","New Earth"
"011164","Soranik Natu ","Public","Good","Purple","Black","Female","No","Living",93,"2005-11","DC","New Earth"
"111666","Joseph Carny ","No info","Bad","No info","No info","Male","No","Living",29,"1982-06","DC","New Earth"
"111671","King of Spades V ","No info","Bad","No info","No info","Male","No","Living",5,"2005-10","DC","New Earth"
"011169","Isamot Kol ","Secret","Good","Yellow","No info","Male","No","Living",82,"2005-11","DC","New Earth"
"011173","Vath Sarn ","Public","Good","Black","Black","Male","No","Living",67,"2005-11","DC","New Earth"
"111761","Deuce Canyard ","Public","Bad","No info","Blond","Male","No","Deceased",4,"2005-10","DC","New Earth"
"011186","Ragnar ","Public","Bad","No info","No info","Male","No","Deceased",3,"2006-08","DC","New Earth"
"011189","Iolande ","Public","Good","Purple","Black","Female","No","Living",48,"2006-08","DC","New Earth"
"112162","Cora ","Public","Good","Blue","No info","Female","No","Living",6,"1990-03","DC","New Earth"
"011217","B'Shi ","Secret","Good","Black","Brown","Female","No","Deceased",1,"2000-08","DC","New Earth"
"112193","Scar ","Secret","Bad","Black","No info","Female","No","Deceased",49,"2008-01","DC","New Earth"
"112219","Mariposa Nichol ","Public","No info","No info","No info","Female","No","Living",6,"2008-09","DC","New Earth"
"011222","Jack T. Chance ","Public","Good","Red","Blue","Male","No","Deceased",16,"1992-06","DC","New Earth"
"011225","Ke'Haan ","Public","Good","Red","Black","Male","No","Deceased",1,"1994-02","DC","New Earth"
"112276","Anica Balcescu ","Secret","Bad","Brown","Brown","Female","No","Living",8,"2008-09","DC","New Earth"
"112309","Joshua Barbazon ","Public","Good","Blue","Blond","Male","Homosexual","Living",2,"1989-00","DC","New Earth"
"011232","Xax ","Secret","Good","Black","No info","Male","No","Deceased",25,"1961-12","DC","New Earth"
"112328","Esteban Sanchez ","Public","Good","Brown","Black","Male","No","Living",2,"1989-00","DC","New Earth"
"112336","Boris Dmitravich Razumihin ","Public","Good","Brown","Black","Male","No","Living",7,"1987-12","DC","New Earth"
"112342","Inada Akatsu ","Public","Good","Black","Black","Male","No","Living",1,"1989-00","DC","New Earth"
"112344","Ernesto Lopez ","Public","Good","Brown","Brown","Male","No","Living",3,"1989-00","DC","New Earth"
"112346","Cyndy Kurahara ","Public","Good","Black","Black","Female","No","Living",1,"1989-00","DC","New Earth"
"112348","Rodan Katatami ","Public","Good","Black","Black","Male","No","Living",1,"1989-00","DC","New Earth"
"112349","Dana Rubikskova ","Public","Good","Green","Brown","Female","No","Living",2,"1989-00","DC","New Earth"
"112351","Rosa Rubikskova ","Public","Good","Green","Brown","Female","No","Living",6,"1989-00","DC","New Earth"
"112353","Inez Luisa ","No info","Good","No info","Black","Female","No","Living",2,"1989-00","DC","New Earth"
"112382","Shock Trauma ","Secret","Bad","Brown","Black","Male","No","Deceased",4,"2000-11","DC","New Earth"
"011239","Kreon ","Public","Good","Blue","Blond","Male","No","Deceased",24,"1992-03","DC","New Earth"
"112390","Gunshot ","Secret","Bad","Blue","Black","Male","No","Living",7,"1993-08","DC","New Earth"
"112409","Sapphire Stagg ","No info","Neutral","Blue","Blond","Female","No","Living",104,"1965-01","DC","New Earth"
"011241","Laira Omoto ","Secret","Neutral","White","Red","Female","No","Deceased",31,"1993-09","DC","New Earth"
"112416","Maxwell Tremaine ","No info","Bad","No info","White","Male","No","Deceased",5,"1965-03","DC","New Earth"
"112464","Maks Chazov ","No info","Good","No info","Brown","Male","No","Living",6,"2008-03","DC","New Earth"
"011247","Tomar-Re ","Secret","Good","Red","No info","Male","No","Deceased",75,"1961-06","DC","New Earth"
"112479","Ahk-Ton ","No info","Bad","Black","No info","Male","No","Living",8,"1965-01","DC","New Earth"
"112487","Jillian Conway ","No info","Bad","No info","Blond","Female","No","Deceased",4,"1993-08","DC","New Earth"
"011249","Tomar-Tu ","Secret","Good","White","No info","Male","No","Living",82,"1990-10","DC","New Earth"
"112535","Thunderer ","No info","Bad","No info","No info","Male","No","Living",4,"1967-10","DC","New Earth"
"112549","Legion ","No info","Bad","No info","No info","Male","No","Living",5,"1990-01","DC","New Earth"
"112561","Joseph Mason ","Public","Neutral","No info","Black","Male","No","Living",9,"1990-02","DC","New Earth"
"112565","Ranger ","Secret","Good","Green","Red","Male","No","Deceased",6,"1955-01","DC","New Earth"
"112659","Doc Dread ","No info","Bad","No info","No info","Male","No","Deceased",5,"1966-10","DC","New Earth"
"112805","Maelstrom ","Public","Bad","No info","Black","Female","No","Living",3,"2009-01","DC","New Earth"
"112900","Hector Enriquez ","Public","Good","No info","Black","Male","No","Living",16,"1989-08","DC","New Earth"
"112902","Chuy Salinas ","Public","Good","No info","Black","Male","No","Living",12,"1989-08","DC","New Earth"
"112903","Mayflower ","Secret","Bad","Brown","Brown","Female","No","Deceased",12,"1984-09","DC","New Earth"
"112921","Curtis DeVore ","Public","Good","No info","No info","Male","No","Living",12,"1989-11","DC","New Earth"
"112922","Yolanda Ybarra ","Public","Good","Brown","Black","Female","No","Living",14,"1989-08","DC","New Earth"
"112924","Jesse Vega ","Public","Good","No info","Black","Male","No","Living",15,"1989-08","DC","New Earth"
"112925","Thomas Longstreet ","Public","Good","No info","White","Male","No","Living",13,"1989-08","DC","New Earth"
"112926","Virginia Dix ","No info","Good","Green","Blond","Female","No","Living",14,"1989-08","DC","New Earth"
"112927","Artemio Villareal ","No info","Good","Brown","Black","Male","No","Living",12,"1989-11","DC","New Earth"
"112933","Yvette DuBois ","Public","Good","No info","Black","Female","No","Living",15,"1993-10","DC","New Earth"
"112934","Benjamin Nakashima ","No info","Good","No info","Black","Male","No","Living",14,"1993-10","DC","New Earth"
"112941","Cyrus Lord ","No info","No info","Brown","Brown","Male","No","Living",1,"2009-03","DC","New Earth"
"112954","Sparkler ","Secret","Good","Black","Black","Male","No","Deceased",12,"1984-09","DC","New Earth"
"112982","Silent Majority ","No info","Bad","Black","Brown","Male","No","Deceased",15,"1984-09","DC","New Earth"
"113036","Vice ","Public","Bad","Black","No info","Male","No","Deceased",12,"2008-12","DC","New Earth"
"113078","Shakedown ","Secret","Bad","Green","No info","Male","No","Deceased",19,"1984-04","DC","New Earth"
"113088","Coldsnap ","No info","Bad","No info","White","Male","No","Living",24,"1984-04","DC","New Earth"
"113095","Heatstroke ","No info","Bad","No info","Red","Female","No","Living",24,"1984-04","DC","New Earth"
"113174","Mischa Dmitrovich Pushkin ","No info","Good","No info","No info","Male","No","Living",13,"1990-02","DC","New Earth"
"113176","Belina Pushkin ","No info","Good","No info","No info","Female","No","Living",13,"1990-02","DC","New Earth"
"113177","Tascha Pushkin ","No info","Good","No info","No info","Female","No","Living",12,"1990-02","DC","New Earth"
"113190","Bleez ","Public","Neutral","Blue","Black","Female","No","Living",68,"2008-12","DC","New Earth"
"113193","Sylvia Contreras ","Public","Good","No info","Black","Female","No","Living",7,"1990-04","DC","New Earth"
"113318","Thomas Morita ","Secret","Bad","Black","Black","Male","No","Deceased",15,"1977-11","DC","New Earth"
"011333","Franklin Delano Roosevelt ","Public","Good","No info","Grey","Male","No","Living",52,"1936-03","DC","New Earth"
"113340","Wiley Dalbert ","No info","Neutral","No info","No info","Male","No","Living",4,"1997-10","DC","New Earth"
"011335","Helmut Streicher ","Secret","Bad","Blue","Blond","Male","No","Living",13,"1977-02","DC","New Earth"
"113359","Ned Creegan ","Public","Bad","Black","Brown","Male","No","Living",5,"1967-09","DC","New Earth"
"113394","Actuary ","Secret","Bad","No info","White","Male","No","Living",3,"1995-03","DC","New Earth"
"113397","Benjamin Asplin ","No info","Bad","No info","No info","Male","No","Deceased",7,"1993-11","DC","New Earth"
"113460","Dex-Starr ","Public","Bad","Yellow","Blue","Male","No","Living",35,"2008-12","DC","New Earth"
"113469","Bess Lynn ","Secret","Good","Blue","Blond","Female","No","Deceased",16,"1962-08","DC","New Earth"
"011350","Steven Savage ","Public","Good","Blue","Blond","Male","No","Living",11,"1965-12","DC","New Earth"
"113506","Thomas Revere ","No info","Good","Green","White","Male","No","Deceased",7,"1942-12","DC","New Earth"
"113514","Zyklon ","Secret","Bad","No info","No info","Male","No","Living",3,"1985-05","DC","New Earth"
"113537","Slugger Dunn ","No info","Good","No info","Black","Male","No","Living",8,"1941-08","DC","New Earth"
"113540","Tubby Watts ","No info","Good","No info","Red","Male","No","Living",137,"1941-09","DC","New Earth"
"011356","Jason Bard ","Public","Good","Brown","Brown","Male","No","Living",66,"1969-10","DC","New Earth"
"113716","Gloria Mundi ","Secret","Good","Blue","No info","Female","No","Living",7,"2001-02","DC","Dakotaverse"
"011376","Baytor ","Public","No info","Red","No info","No info","No","Living",25,"1994-01","DC","New Earth"
"011377","Beautiful Dreamer ","Secret","Good","Blue","Black","Female","No","Deceased",52,"1971-03","DC","New Earth"
"113854","Miri Riam ","Secret","Good","Blue","Red","Female","No","Living",16,"2008-12","DC","New Earth"
"113947","Moose ","Secret","Bad","Black","No info","Male","No","Living",14,"2007-08","DC","New Earth"
"113949","Slushh ","Public","Bad","No info","No info","Male","No","Living",31,"2007-08","DC","New Earth"
"011405","Frederick Chyre ","Public","Good","Blue","Grey","Male","No","Living",35,"2000-09","DC","New Earth"
"011407","Jared Morillo ","Public","Good","Brown","Black","Male","No","Living",31,"2001-04","DC","New Earth"
"114083","Ripjak ","No info","Bad","No info","No info","Male","No","Living",3,"2000-08","DC","New Earth"
"011409","William Slout ","Public","No info","No info","Grey","Male","No","Living",2,"2006-10","DC","New Earth"
"114127","William Great Eagle ","Public","Good","Brown","Brown","Male","No","Living",12,"1954-09","DC","New Earth"
"114219","Tuftan ","No info","Good","No info","Orange","Male","No","Living",8,"1998-04","DC","New Earth"
"114307","Batrok ","No info","Bad","No info","Grey","Male","No","Living",4,"1998-04","DC","New Earth"
"011434","Kathleen Sutton ","Public","Good","No info","Blond","Female","No","Living",37,"1973-07","DC","New Earth"
"011436","Phillip Cobb ","No info","Bad","No info","Brown","Male","No","Living",24,"1957-12","DC","New Earth"
"011437","Traya Sutton ","Public","Good","Blue","Black","Female","No","Living",42,"1978-03","DC","New Earth"
"011438","Lian Harper ","Public","Good","Green","Black","Female","No","Deceased",80,"1986-06","DC","New Earth"
"011439","Doctor Impossible ","Secret","Bad","Blue","Black","Male","No","Living",11,"2006-10","DC","New Earth"
"114441","Fetch ","No info","Good","Blue","Brown","Male","No","Living",4,"2004-04","DC","New Earth"
"114487","Tawna ","No info","Good","Auburn Hair","No info","Female","No","Living",5,"1998-04","DC","New Earth"
"114585","Great Caesar ","No info","Good","No info","Orange","Male","No","Living",4,"1998-04","DC","New Earth"
"114593","Ratsputin ","Secret","Bad","Red","Grey","Male","No","Living",6,"1998-04","DC","New Earth"
"114613","Sacker ","No info","Bad","Blue","White","Male","No","Living",6,"1998-04","DC","New Earth"
"114617","Doctor Canus ","No info","Good","No info","White","Male","No","Living",7,"1998-04","DC","New Earth"
"114619","Killa ","No info","Bad","No info","No info","Male","No","Living",5,"1998-04","DC","New Earth"
"114620","Howler ","No info","Good","No info","Grey","Male","No","Living",11,"1998-04","DC","New Earth"
"114622","Gorr ","No info","Good","No info","Brown","Male","No","Living",11,"1998-04","DC","New Earth"
"114624","Growler ","No info","Good","No info","Black","Male","No","Living",11,"1998-04","DC","New Earth"
"114717","Lee St. Lawrence ","No info","Good","No info","Blond","Female","No","Living",2,"1998-06","DC","New Earth"
"114935","Jason Burr ","Public","Bad","Black","No info","Male","No","Living",17,"1976-03","DC","New Earth"
"114949","Firehair ","Secret","Good","Blue","Red","Male","No","Living",25,"1969-09","DC","New Earth"
"114950","Lieutenant Carson ","No info","Good","Brown","Black","Male","No","Living",12,"2008-07","DC","New Earth"
"114951","Hops Jones ","No info","Good","Brown","Black","Male","No","Living",9,"2008-07","DC","New Earth"
"114952","Jeremy Jape ","No info","Neutral","No info","Blond","Male","No","Living",9,"2008-07","DC","New Earth"
"114963","Akisha ","No info","No info","No info","No info","Female","No","Living",12,"2008-07","DC","New Earth"
"114965","Yvonne Pariel ","No info","Good","Brown","Black","Female","No","Living",10,"2008-08","DC","New Earth"
"114969","Genevieve Campbell ","No info","Good","No info","No info","Female","No","Living",9,"2008-09","DC","New Earth"
"114971","Trang Jones ","No info","Good","Brown","Black","Female","No","Living",8,"2008-07","DC","New Earth"
"114978","Backlash ","Secret","Bad","Black","Brown","Male","No","Living",10,"1994-03","DC","New Earth"
"114979","Heatmonger ","Secret","Bad","No info","Blond","Female","No","Deceased",8,"1994-03","DC","New Earth"
"114980","Golden Eagle II ","Secret","Bad","No info","Blond","Male","No","Living",7,"1994-03","DC","New Earth"
"114981","Peter Cannon ","Secret","Good","Blue","Blond","Male","No","Living",24,"1992-09","DC","New Earth"
"114982","Anubis of the Dogpound ","No info","Bad","No info","No info","Male","No","Living",10,"2008-09","DC","New Earth"
"114983","Devil Dog ","No info","Bad","No info","No info","Male","No","Living",9,"2008-09","DC","New Earth"
"114988","Charles Great Eagle ","Public","Good","Brown","Brown","Male","No","Living",10,"1954-09","DC","New Earth"
"114989","Benedict Rundstrom ","Secret","Bad","No info","No info","Male","No","Deceased",6,"1951-06","DC","New Earth"
"114990","Alphonso Giovanni ","Secret","Good","Black","Black","Male","No","Deceased",9,"1955-01","DC","New Earth"
"115005","Arnold Burnsteel ","Public","Good","White","Black","Male","No","Living",29,"1994-11","DC","New Earth"
"115079","Jason Hart ","Secret","Good","Blue","Brown","Male","No","Living",5,"1983-00","DC","New Earth"
"011516","Beelzebub ","No info","Bad","Black","No info","No info","No","Deceased",13,"1989-04","DC","New Earth"
"115175","Djo Zha ","No info","No info","No info","No info","Male","No","Living",8,"2009-03","DC","New Earth"
"115179","Count von Steuben ","No info","Bad","No info","No info","Male","No","Living",2,"1967-01","DC","New Earth"
"011520","Bekka ","Secret","Neutral","Blue","Black","Female","No","Deceased",5,"1984-03","DC","New Earth"
"115203","Khaji Ro ","No info","No info","No info","No info","Female","No","Living",2,"2009-03","DC","New Earth"
"115212","Djo Mek ","No info","No info","No info","No info","Male","No","Living",2,"2009-03","DC","New Earth"
"011522","Belphegor ","Secret","Good","Green","Black","Female","No","Living",5,"1987-06","DC","New Earth"
"115222","Khaji Tal ","No info","No info","No info","No info","Male","No","Living",2,"2009-03","DC","New Earth"
"115229","Djo Sut ","No info","No info","No info","No info","Male","No","Living",2,"2009-03","DC","New Earth"
"011528","Bibbo Bibbowski ","Public","Good","Grey","Grey","Male","No","Living",67,"1987-05","DC","New Earth"
"115316","Alpheus Hyatt ","No info","Good","No info","No info","Male","No","Living",24,"1962-11","DC","New Earth"
"115359","Scott Sawyer ","Public","Good","No info","No info","Male","No","Living",8,"1998-12","DC","New Earth"
"115376","Kordax ","Public","Bad","Green","Blond","Male","No","Living",13,"1990-06","DC","New Earth"
"115378","Goraiko ","No info","Good","No info","No info","Female","No","Living",5,"1999-02","DC","New Earth"
"115455","Honsu ","Public","Bad","Blue","Black","Male","No","Living",3,"1990-07","DC","New Earth"
